id,value,feed_id,created_at,lat,lon,ele
0EX0EYBXEPKB7PSVSQ240VC8WJ,28.090816,1762267,2021-12-09 00:28:01 UTC,,,
0EX0EYCNWM2AF9BK18Y0NH1VM2,28.662109,1762267,2021-12-09 00:28:03 UTC,,,
0EX0EYEYCT8WY6Y6A8ES9A3CEH,28.046871,1762267,2021-12-09 00:28:11 UTC,,,
0EX0EYFFEB87FJN82WCRSDVWE9,27.915037,1762267,2021-12-09 00:28:12 UTC,,,
0EX0EYMR1K0TZPC9395FK3CMQA,28.486324,1762267,2021-12-09 00:28:30 UTC,,,
0EX0EYSG1AKYKKVPR4NCFNN0RR,27.651363,1762267,2021-12-09 00:28:45 UTC,,,
0EX0EYSXXWCEHWRTYNJBCT4Y7B,27.651363,1762267,2021-12-09 00:28:47 UTC,,,
0EX0EYTDDNGFKMZFEYWKEJYBM9,27.607418,1762267,2021-12-09 00:28:48 UTC,,,
0EX0EYX76AE6A0JNM0B28BD4GB,27.431637,1762267,2021-12-09 00:28:57 UTC,,,
0EX0EYZ140R0TEX2YZJ15VMZ79,28.266598,1762267,2021-12-09 00:29:03 UTC,,,
0EX0Y8KXYXKHTK23KDXSET4X0S,21.411133,1762267,2021-12-09 14:44:47 UTC,,,
0EX0Y8MRSSR4SA5CX496QQXMWA,21.411133,1762267,2021-12-09 14:44:50 UTC,,,
0EX0Y8MX1X5CMMGPX5VFDEMSHX,21.411133,1762267,2021-12-09 14:44:50 UTC,,,
0EX0Y8N0W4WHWGTMKMSMXRZNZP,21.411133,1762267,2021-12-09 14:44:51 UTC,,,
0EX0Y8N4WYQBW733Q7Q7X6CXX1,21.455074,1762267,2021-12-09 14:44:51 UTC,,,
0EX0Y8NF469AA1DRER0C891FW5,21.455074,1762267,2021-12-09 14:44:52 UTC,,,
0EX0Y8NJH1D5F8PV3FZ2AQW172,21.455074,1762267,2021-12-09 14:44:53 UTC,,,
0EX0Y8NNGV80JW8R9FWTT5HYY5,21.455074,1762267,2021-12-09 14:44:53 UTC,,,
0EX0Y8NRGX2QVK7H4QD9BDQ5BV,21.455074,1762267,2021-12-09 14:44:53 UTC,,,
0EX0Y8NVG7TJV0QBH14V0RMZ1A,21.455074,1762267,2021-12-09 14:44:53 UTC,,,
0EX0Y8NYJ3EKH20EDFCNX29X69,21.455074,1762267,2021-12-09 14:44:54 UTC,,,
0EX0Y8T7HRYAC13FCGTNJ7B749,22.949219,1762267,2021-12-09 14:45:08 UTC,,,
0EX0Y8TNRYGZNW15Q6TNT0VHX0,23.564451,1762267,2021-12-09 14:45:09 UTC,,,
0EX0Y8V1760HJG87C2902MRX95,23.828125,1762267,2021-12-09 14:45:10 UTC,,,
0EX0Y8VDJ4EX6S3P4JDJF8C054,24.135738,1762267,2021-12-09 14:45:12 UTC,,,
0EX0Y8VSPNAWDM8ZYEN3E2JNEH,24.399412,1762267,2021-12-09 14:45:13 UTC,,,
0EX0YA7TZ1P4VRJ709VT2A2MW9,22.333981,1762267,2021-12-09 14:47:37 UTC,,,
0EX0YA9AZQ62CQXBMXF42E941H,22.377926,1762267,2021-12-09 14:47:42 UTC,,,
0EX0YAD78BBYNASBZ45TGPXXN2,25.278318,1762267,2021-12-09 14:47:55 UTC,,,
0EX0YAE9MTG1NVF6Y6QD8FD4E1,25.585938,1762267,2021-12-09 14:47:58 UTC,,,
0EX0YAFQDZR0RW4F44DBK346TE,25.893551,1762267,2021-12-09 14:48:03 UTC,,,
0EX0YAH37320SG0VSKZG53Q0EQ,26.069332,1762267,2021-12-09 14:48:08 UTC,,,
0EX0YAJPHBM7YJHWP96PSB1GFB,26.245117,1762267,2021-12-09 14:48:13 UTC,,,
0EX0YAQ934MCA4A3KTJ0M9B5CY,26.464844,1762267,2021-12-09 14:48:28 UTC,,,
0EX0YAR77A2TBWQVTH3CZE8246,26.508785,1762267,2021-12-09 14:48:31 UTC,,,
0EX0YATD0VBF9YRPM5A4D0R4KG,26.596678,1762267,2021-12-09 14:48:38 UTC,,,
0EX0YAVTMN9GESHQAF25ZCV6YA,26.640623,1762267,2021-12-09 14:48:43 UTC,,,
0EX0YAY7PAYEA41WK8JW8P1HAQ,26.684570,1762267,2021-12-09 14:48:51 UTC,,,
0EX0YB10KDHX7TBX316RRZZZFA,28.530270,1762267,2021-12-09 14:49:00 UTC,,,
0EX0YB21Q9DNGFA7F90D8NQCFB,29.409176,1762267,2021-12-09 14:49:03 UTC,,,
0EX0YB2SVD1S5PCQB490AAMTQH,29.716797,1762267,2021-12-09 14:49:06 UTC,,,
0EX0YB4D7V4BKQVM8RPJP18KFY,29.013670,1762267,2021-12-09 14:49:11 UTC,,,
0EX0YB528GD4GA5HKGT74BQ136,28.310543,1762267,2021-12-09 14:49:13 UTC,,,
0EX0YB5V01YXJM9JNEM78CQ7CE,27.563477,1762267,2021-12-09 14:49:16 UTC,,,
